ticket	lane	path	dirty_source	upstream_candidate	historical_d573	 disposition	reconciliation
HERMES-UPDATE-001	2	scripts/release.py	a5fa080b04e07db5fb889024bfd985b01c9d0848fec4f6e25d9d069701b1e2df	5f1d8db490ce8f682c85867413abe4256fb49e2e991e9f2dad50f73dc5158c48	6af0cea106846514d0177c0abd6ba9d88a278757	ADAPT	Carry only the dirty contract's release/snapshot boundary comment onto the upstream release publisher; do not transplant the private fork's large release.py or committed ACP changes.
HERMES-UPDATE-001	2	hermes_cli/release_markers.py	d41d6f065ff4ec8b4c46751a6f7576af34bb58f9fcf0ba1188e3a488fb3b8fd5	ABSENT	3a50eb299899521582a3dc0156abc0063c06500c	ADAPT	Use the historical exact-40-character lowercase marker contract; the dirty primary version accepts non-canonical 7-64 character values and is not authoritative for the upstream implementation.
HERMES-UPDATE-001	2	scripts/release_snapshot.py	10813bcc0855bd548f0525cd7e89a8f22446f23b6bf6b6a7855d4d5b5df47385	ABSENT	965c4afbb3648c92e4748b41ea0dab0ee1fb9692	ADAPT	Port the historical snapshot builder with clean-tree and HEAD/source-SHA checks and no-overwrite behavior; keep it independent from GitHub publication.
HERMES-UPDATE-001	2	scripts/systemd/hermes-gateway-recovery.service.in	ee3474d38347ff3f0a96be82c4e16203d63bb2248e89e4b1dc1020b91a9b0f58	ABSENT	a5518ef82abf30f467c493973a411c810f817a3c	ADAPT	Port the recovery unit template with bounded startup, user-session environment clearing, and journal output; install/start remains out of scope.
HERMES-UPDATE-001	2	scripts/systemd/hermes-gateway-recovery.timer.in	c5cc8e5acc5c4190e4bfec3221a17827d754212db121be2f8a02c737bf996779	ABSENT	4c3d278d69672d8e7fa008711dacc6953b114bb8	RETAIN	The timer contract is already the reviewed periodic recovery schedule; port the historical template unchanged.
HERMES-UPDATE-001	3	hermes_cli/calendar_guard.py	35dec648f351b6ebc91099109b96ae0d615bd2322589de2985f51776fd3a8157	ABSENT	c302c959d10c047fc506199920445957f35301e1	ADAPT	Use d573 as the baseline because it adds invalid-state tolerance, incident/recovery accounting, release-aware stale-code detection, and bounded restart handling missing from the dirty primary file; validate against upstream imports/tests.
HERMES-UPDATE-001	3	scripts/hermes_calendar_guard.sh	72a47f55f4d5fa8bea30faaf347924222d4a2c54b3c20029b0b4c382609aa4f6	ABSENT	cb6fd1b60cf7a847f7d4521d16b52352654432e0	RETAIN	Port the reviewed wrapper contract; it remains a read/check entry point and does not mutate DGX during review.
HERMES-UPDATE-001	3	scripts/install_calendar_guard.py	09a382edfb9f719bca0e00a2aa55d4d5b1dec4c78fb6a179190252f2e38d1b01	ABSENT	398362957cdf156a337d14cd6e4581acf2fb4cc6	ADAPT	Port the installer with marker validation, rendered placeholders, absolute venv entry-point handling, and opt-in enablement; no service enable/start is executed here.
HERMES-UPDATE-001	3	tests/hermes_cli/test_calendar_guard.py	97994499e1d9aed16a650de30e5223495dc74a0815a8f04ee6619628762dbd54	ABSENT	9d8d6f6c5640fe51ac208aad9710f03615a92ff5	ADAPT	Port the historical behavioral tests, then repair only test/import assumptions exposed by the upstream baseline; tests must prove invariants, not snapshots.
HERMES-UPDATE-001	3	hermes_cli/gateway_identity.py	62e4bf2f7fc3e4b719c469b95bd240bb06b206c6e79da7a8fcfd474ad998137c	ABSENT	8dc356d36aaaa691f705309ea75e42f5267a3f03	ADAPT	Required Lane 3 dependency: release-aware identity resolution is needed to distinguish a checkout from a marked release and to fail closed on missing or conflicting markers.
HERMES-UPDATE-001	3	gateway/code_skew.py	63692524b8afa48c504bcf5e13e654a99b1b1e5be48d4b968cf331acc5933617	ABSENT	ec5294104ab05da327e104a9e74d6feba83aff06	ADAPT	Required Lane 3 integration dependency: persist an atomic boot identity and expose read_boot_record for the guard; unrelated skew policy and callers remain outside this lane.

# Source identity: primary D:/PROJECT/Hermes, branch ticket/hermes-auth-001, HEAD c192e863d8dc9df98c2bd9d066ce49bc4f9cb3e8 (read-only dirty source).
# Implementation base: upstream/main at 45af7a71fcd420b4422d2c074b1ce58b9ce0d048 in the isolated worktree ticket/hermes-update-001-lane2-3-impl.
# Historical comparison: d573ce0a1 (fix: harden calendar guard recovery (#17)); Git blob ids are recorded above for reproducibility.
# Reconciliation result: Lane 2/3 dirty contracts are reconciled; implementation may begin in the isolated upstream worktree. Primary and private-based ticket worktrees remain untouched.
